xmin xmax ymin ymax
1411 1560 171 481
1785 1920 386 667
1228 1303 44 189
909 990 1 163
1299 1354 28 104
1231 1304 23 93
1583 1854 289 731
1409 1562 174 477
1785 1917 398 674
1235 1300 52 256
1093 1185 1 131
1228 1311 22 107
1298 1367 33 115
1009 1055 1 53
1702 1867 287 625
1353 1485 169 478
1786 1915 377 658
1187 1272 50 181
1526 1621 100 273
1350 1409 32 98
1258 1307 3 98
1205 1269 1 62
1389 1527 171 462
1188 1269 44 165
1268 1332 31 132
841 905 1 103
1377 1432 40 113
1532 1632 107 262
1746 1897 327 624
1789 1920 394 677
1353 1479 183 467
1182 1268 45 170
1267 1331 23 128
798 857 1 124
852 901 1 102
1331 1395 9 102
1532 1620 113 251
1744 1902 338 651
1348 1480 193 483
1181 1272 45 184
823 908 1 105
1304 1364 21 107
1363 1412 16 100
1524 1632 100 257
1735 1895 344 644
1724 1911 339 635
1349 1476 180 480
1183 1271 46 170
838 908 1 103
1521 1634 111 266
753 916 105 507
1708 1855 299 605
1347 1473 183 479
1635 1731 206 400
1182 1285 38 171
1331 1388 1 97
1528 1615 111 238
802 863 1 103
1373 1517 185 468
883 973 2 237
1442 1531 60 153
1168 1269 46 172
1205 1271 1 53
1290 1346 9 110
812 854 1 110
1373 1534 169 468
1162 1277 36 179
854 922 1 164
981 1049 1 67
831 893 1 115
1203 1272 1 93
1258 1313 3 148
1308 1377 1 89
1365 1421 1 131
1432 1509 51 166
488 923 446 1056
162 489 360 950
971 1210 366 891
865 1019 223 680
1399 1521 167 476
865 942 1 184
1194 1266 50 177
1390 1460 32 131
1731 1915 337 619
1 281 431 948
809 997 100 608
1034 1255 519 894
905 1183 746 1056
1397 1528 164 467
1142 1222 43 162
1117 1178 1 129
1718 1883 319 616
844 1044 553 1056
1 254 605 961
644 924 716 1055
1392 1530 162 472
854 991 1 266
1229 1292 1 141
1182 1258 41 173
1689 1871 316 595
29 397 527 990
266 570 493 987
1288 1531 294 845
1391 1527 172 393
1234 1299 56 259
1287 1346 1 106
1217 1280 13 73
1537 1754 275 734
1393 1538 193 487
898 998 1 237
1232 1299 51 202
1218 1288 9 93
3 246 587 931
886 929 3 111
1031 1075 2 50
851 1258 414 1038
1565 1756 269 702
1381 1552 201 478
1240 1306 57 254
1227 1281 1 175
1010 1092 6 79
39 344 398 962
1557 1742 256 700
1434 1542 177 400
1241 1307 49 220
900 962 1 159
1234 1289 2 107
55 386 424 998
1562 1773 269 700
1401 1545 169 474
1218 1303 46 243
900 973 1 133
1227 1304 7 84
1557 1780 269 700
817 955 46 480
1434 1557 182 394
1196 1278 44 173
1311 1374 3 88
1567 1768 275 705
1406 1554 184 460
878 990 67 374
1180 1268 50 171
1253 1335 49 160
1557 1769 271 697
1368 1508 159 477
885 993 35 309
1239 1301 51 257
1277 1332 32 128
1347 1495 162 473
856 975 37 315
1237 1309 50 254
1278 1331 31 118
1645 1755 202 428
1662 1851 275 602
1392 1553 175 467
913 1030 2 330
792 927 36 331
1228 1313 1 165
1151 1217 36 174
830 900 1 102
1061 1393 858 1056
1365 1497 163 469
804 954 59 351
1259 1335 2 163
1137 1220 46 161
1158 1248 1 51
1149 1372 793 1053
1355 1489 165 466
807 932 56 346
886 963 1 122
1130 1207 42 159
1151 1232 3 41
1319 1568 723 1056
1380 1531 174 472
886 993 1 248
1127 1216 38 161
1140 1239 1 57
1110 1168 1 53
1361 1484 164 471
1167 1296 49 176
1241 1303 1 124
